index,level1,level2,level3,year,module_code,module_description,difficulty,attribute
1,Number,Place Value,Counting,1,A,"count to and across 100, forwards and backwards, beginning with 0 or 1, or from any given number",1_can,Count forwards 0-10 or 1-10. Count backwards 10-0. Start from 0 or 1. Use concrete objects/pictures. Questions are direct/single-step.
2,Number,Place Value,Counting,1,A,"count to and across 100, forwards and backwards, beginning with 0 or 1, or from any given number",1_cannot,Do not count beyond 10. Do not start from other given numbers. Do not use negative numbers. No word problems or abstract contexts. No multi-step problems. No skips/multiples.
3,Number,Place Value,Counting,1,A,"count to and across 100, forwards and backwards, beginning with 0 or 1, or from any given number",2_can,Count forwards/backwards 0-20. Start from any given number within 0-20. Use pictorial representations or number lines. Questions may be short sequences or simple missing numbers.
4,Number,Place Value,Counting,1,A,"count to and across 100, forwards and backwards, beginning with 0 or 1, or from any given number",2_cannot,"Do not count beyond 20. Do not use negative numbers. No complex word problems. No skips/multiples beyond 2s, 5s, 10s (handled by N-PV-C-1b)."
5,Number,Place Value,Counting,1,A,"count to and across 100, forwards and backwards, beginning with 0 or 1, or from any given number",3_can,"Count forwards/backwards 0-50. Start from any given number within 0-50. Use number lines. Questions include identifying missing numbers in sequences (e.g., 2-3 gaps)."
6,Number,Place Value,Counting,1,A,"count to and across 100, forwards and backwards, beginning with 0 or 1, or from any given number",3_cannot,Do not count beyond 50. Do not use negative numbers. No complex word problems requiring interpretation. No large skips/multiples (handled by N-PV-C-1b).
7,Number,Place Value,Counting,1,A,"count to and across 100, forwards and backwards, beginning with 0 or 1, or from any given number",4_can,"Count forwards/backwards 0-100. Start from any given number within 0-100. Questions involve longer sequences, finding a specific number after multiple steps, or checking counting accuracy. Contexts are simple and direct (e.g., counting steps, items)."
8,Number,Place Value,Counting,1,A,"count to and across 100, forwards and backwards, beginning with 0 or 1, or from any given number",4_cannot,"Do not count beyond 100. Do not use negative numbers. No complex word problems. No non-standard counting patterns (e.g., counting in 3s, 4s). Focus on sequential counting."
9,Number,Place Value,Counting,2,B,"count in steps of 2, 3, and 5 from 0, and in tens from any number, forward or backward",1_can,Count forwards in 2s and 5s from 0 up to 20. Count forwards in 10s from 0 up to 100. Questions are direct sequences. Use visual aids like counting in pairs of objects or groups of five/ten.
10,Number,Place Value,Counting,2,B,"count in steps of 2, 3, and 5 from 0, and in tens from any number, forward or backward",1_cannot,Do not count backwards. Do not count in 3s. Do not start counting 10s from a non-zero number. No missing numbers. No word problems.
11,Number,Place Value,Counting,2,B,"count in steps of 2, 3, and 5 from 0, and in tens from any number, forward or backward",2_can,Count forwards and backwards in 2s and 5s from 0 up to 50. Count forwards and backwards in 10s from any multiple of 10 up to 100. Questions include simple missing numbers in sequences. Can use number lines for support.
