Strand,Substrand,Content domain reference,Year,Module
Number and place value,counting (in multiples),N1,Year 1,"count to and across 100, forwards and backwards, beginning with 0 or 1, or from any given number; count in multiples of twos, fives and tens"
Number and place value,counting (in multiples),N1,Year 2,"count in steps of 2, 3, and 5 from 0, and in tens from any number, forward or backward"
Number and place value,counting (in multiples),N1,Year 3,"count from 0 in multiples of 4, 8, 50 and 100"
Number and place value,counting (in multiples),N1,Year 4,"count in multiples of 6, 7, 9, 25 and 1,000"
Number and place value,counting (in multiples),N1,Year 5,"count forwards or backwards in steps of powers of 10 for any given number up to 1,000,000"
Number and place value,counting (in multiples),N1,Year 6,
Number and place value,"read, write, order and compare numbers",N2,Year 1,"count, read and write numbers to 100 in numerals; given a number, identify one more and one less; read and write numbers from 1 to 20 in numerals and words"
Number and place value,"read, write, order and compare numbers",N2,Year 2,"read and write numbers to at least 100 in numerals and in words; compare and order numbers from 0 up to 100; use <, > and = signs"
Number and place value,"read, write, order and compare numbers",N2,Year 3,"compare and order numbers up to 1,000; read and write numbers to 1,000 in numerals and in words; find 10 or 100 more or less than a given number"
Number and place value,"read, write, order and compare numbers",N2,Year 4,"order and compare numbers beyond 1,000; find 1,000 more or less than a given number"
Number and place value,"read, write, order and compare numbers",N2,Year 5,"read, write, order and compare numbers to at least 1,000,000"
Number and place value,"read, write, order and compare numbers",N2,Year 6,"read, write, order and compare numbers up to 10,000,000"
Number and place value,place value; roman numerals,N3,Year 1,
Number and place value,place value; roman numerals,N3,Year 2,"recognise the place value of each digit in a two-digit number (tens, ones)"
Number and place value,place value; roman numerals,N3,Year 3,"recognise the place value of each digit in a three-digit number (hundreds, tens, ones)"
Number and place value,place value; roman numerals,N3,Year 4,"recognise the place value of each digit in a four-digit number (thousands, hundreds, tens and ones); read Roman numerals to 100 (I to C) and know that over time, the numeral system changed to include the concept of zero and place value"
